startTime,endTime,startSessionTime,endSessionTime,duration,x,y,pointCount
1753374474385,1753374474542,51804,51961,157,1028.315103648157,487.0817900932678,3
1753374474542,1753374474753,51961,52172,211,1009.5844525413617,453.3660319709276,4
1753374474753,1753374474854,52172,52273,101,1010.3394936651476,419.6329498849759,2
1753374474854,1753374475058,52273,52477,204,972.8470077216903,383.20356686558864,4
1753374475058,1753374475160,52477,52579,102,962.7862683184621,359.3794622259057,2
1753374475160,1753374475531,52579,52950,371,1000.3101781842981,351.56187805337635,7
1753374475531,1753374475635,52950,53054,104,942.2287303646533,346.2690672130327,2
1753374475635,1753374475741,53054,53160,106,916.2050727083881,336.8733281317601,2
1753374475741,1753374475845,53160,53264,104,952.7444455454324,330.57278549685185,2
1753374476058,1753374476160,53477,53579,102,1152.8062898541912,306.30379333617634,2
1753374476359,1753374476460,53778,53879,101,1037.5422444415567,493.31108223378203,2
1753374476669,1753374476874,54088,54293,205,1203.37264188457,351.72102791635086,4
1753374476874,1753374476997,54293,54416,123,1206.5325899192865,331.2719039340391,2
1753374477366,1753374477526,54785,54945,160,818.5167572016163,292.1391292230402,3
1753374477526,1753374477695,54945,55114,169,774.204900500035,321.08428990147627,2
1753374477695,1753374477937,55114,55356,242,742.7523461955191,337.0094654317926,4
1753374477997,1753374478129,55416,55548,132,835.4231753888796,318.78236923709756,2
1753374478129,1753374478467,55548,55886,338,868.3979923592924,310.8524739508958,4
1753374478467,1753374478748,55886,56167,281,900.4170076770876,295.06796970605865,5
1753374478748,1753374478897,56167,56316,149,869.3607609519901,305.66316535628533,3
1753374478897,1753374479866,56316,57285,969,827.7700930818313,303.37625318633343,19
1753374479866,1753374480333,57285,57752,467,788.7096152852706,285.33443676778955,9
1753374480494,1753374480598,57913,58017,104,630.6307269117473,296.2387132314683,2
1753374480763,1753374480903,58182,58322,140,508.9418387705156,310.2504784204927,2
1753374480903,1753374481268,58322,58687,365,468.3191760472057,317.0289414457363,4
1753374481268,1753374481464,58687,58883,196,448.5060297864941,322.5995826771846,3
1753374481464,1753374481699,58883,59118,235,461.6635105760827,350.6010636106845,4
1753374481699,1753374482299,59118,59718,600,446.6741000475756,370.21488029845773,8
1753374482459,1753374482689,59878,60108,230,604.7248634880026,335.9344796672048,2
1753374482689,1753374482875,60108,60294,186,639.2457178332501,316.269878310122,2
1753374482959,1753374483062,60378,60481,103,733.811302959147,312.20880658514733,1
1753374483212,1753374483363,60631,60782,151,867.0137505353363,375.5705040545386,2
1753374483363,1753374483587,60782,61006,224,886.7297989669815,410.0471467642237,3
1753374483587,1753374483742,61006,61161,155,882.5645411081168,437.3999019392253,2
1753374483742,1753374483896,61161,61315,154,882.2637778158888,484.5389297182202,2
1753374483969,1753374484105,61388,61524,136,848.167818578057,529.5957603805523,2
1753374484105,1753374485212,61524,62631,1107,817.9651183571365,531.6392299472004,15
1753374485212,1753374485643,62631,63062,431,838.5759441435592,510.1292212346252,8
1753374485697,1753374485804,63116,63223,107,833.7312749428722,483.5180819108816,2
1753374485804,1753374486200,63223,63619,396,815.9462725636602,480.1101429635124,7
1753374486200,1753374486712,63619,64131,512,826.5790569745996,505.11293842413215,6
1753374486712,1753374486869,64131,64288,157,782.7845987058026,478.30118293060445,2
1753374486869,1753374487146,64288,64565,277,744.5713980130053,442.20897721570583,5
1753374487146,1753374487793,64565,65212,647,738.9140961693452,433.9620100541638,12
1753374487793,1753374487945,65212,65364,152,727.8575872854744,381.833017263699,3
1753374487945,1753374488462,65364,65881,517,724.2331207679268,354.626054141451,10
1753374488710,1753374488915,66129,66334,205,567.2752200575082,362.87129750584427,4
1753374488915,1753374489077,66334,66496,162,589.061399651965,341.86616261414287,3
1753374489077,1753374489559,66496,66978,482,629.7334947564045,326.49201596882057,9
1753374489559,1753374490235,66978,67654,676,675.1326593397519,323.43678356532956,6
1753374490235,1753374490379,67654,67798,144,700.9131752081307,347.7210762412942,2
1753374490379,1753374490518,67798,67937,139,708.8080368034596,379.45815266395175,2
1753374490696,1753374490818,68115,68237,122,769.1704938872425,583.1473838480313,2
1753374490818,1753374490936,68237,68355,118,766.3830122881059,639.9074982590348,2
1753374490936,1753374491047,68355,68466,111,736.1631265936198,701.0095020414522,2
1753374491047,1753374491259,68466,68678,212,733.5223569136994,714.9073896311531,4
1753374491259,1753374491359,68678,68778,100,738.3538391594029,698.089801484957,2
1753374491359,1753374491745,68778,69164,386,695.6766789640114,724.5280194264882,7
1753374491745,1753374491862,69164,69281,117,725.5015607743908,724.9507608914535,2
1753374491978,1753374492159,69397,69578,181,750.5684663574485,610.1421998829579,3
1753374492278,1753374492398,69697,69817,120,799.0895193044253,487.62591987888334,2
1753374492398,1753374492514,69817,69933,116,859.8073249158831,420.50141925097864,2
1753374492514,1753374492751,69933,70170,237,882.2271450089733,389.3804898564923,4
1753374492809,1753374492920,70228,70339,111,893.3654349025954,308.67149385399915,2
1753374492920,1753374493078,70339,70497,158,889.1827629210612,267.1369015404671,3
1753374493078,1753374493333,70497,70752,255,895.1014127674355,235.53357001072027,5
1753374493333,1753374493488,70752,70907,155,872.2417479263513,232.2462510417441,3
1753374493488,1753374493693,70907,71112,205,894.0160263113011,250.1365839829669,4
1753374493693,1753374494058,71112,71477,365,869.3186402939616,271.14725179621877,7
1753374494113,1753374494274,71532,71693,161,931.8234388559298,247.6998302782487,3
1753374494274,1753374494375,71693,71794,101,962.8951231316901,217.3242314328241,2
1753374494375,1753374494586,71794,72005,211,979.814156182413,189.7672475913008,4
1753374494641,1753374494798,72060,72217,157,1035.0118689202147,239.03650758279608,3
1753374494798,1753374495013,72217,72432,215,1073.3323274748236,226.43498559644124,4
1753374495013,1753374495120,72432,72539,107,1003.1414581916636,246.3577549587883,2
1753374495438,1753374495753,72857,73172,315,815.8771656719777,547.1392729563604,5
1753374495753,1753374495952,73172,73371,199,816.5748249591027,553.6824842736182,4
1753374495952,1753374496261,73371,73680,309,814.1410658789113,533.8662883740934,6
1753374496312,1753374496418,73731,73837,106,819.7677009300334,426.24127018588604,2
1753374496418,1753374496528,73837,73947,110,822.0357507847658,372.4288750763035,2
1753374496528,1753374496636,73947,74055,108,821.1866594784935,335.61565893225963,2
1753374496636,1753374496848,74055,74267,212,835.5487984281456,300.5877996660716,4
1753374496848,1753374497058,74267,74477,210,814.2960904568623,268.13191502833365,4
1753374497058,1753374497365,74477,74784,307,787.3369747894552,269.5943208250351,6
1753374497476,1753374497594,74895,75013,118,788.4030384593088,401.4921913381438,2
1753374497594,1753374497848,75013,75267,254,790.5369472274103,379.1114675464748,4
1753374497848,1753374498025,75267,75444,177,810.8826251631247,371.0985212719773,2
1753374498025,1753374498177,75444,75596,152,778.1117130168861,392.0981494947655,2
1753374498177,1753374498353,75596,75772,176,732.7971265186644,387.43806723933426,3
1753374498353,1753374498577,75772,75996,224,707.9322152468729,388.9779719968649,4
1753374498577,1753374498877,75996,76296,300,704.3999139338066,406.9711610474851,6
1753374498877,1753374498980,76296,76399,103,682.2053505057231,454.94734181428674,2
1753374498980,1753374499250,76399,76669,270,711.9813939407287,443.8670175748847,5
1753374499250,1753374499363,76669,76782,113,701.8900676023457,415.45437922002174,2
1753374499363,1753374499470,76782,76889,107,690.6359594909454,383.94199615455625,2
1753374499470,1753374499577,76889,76996,107,680.8826224092043,356.5192907579543,2
1753374499577,1753374499728,76996,77147,151,667.4245165156625,333.45983276851956,3
1753374499728,1753374500095,77147,77514,367,646.9684602571826,350.6382879148131,7
1753374500095,1753374500721,77514,78140,626,675.9496666133385,358.814283914825,12
1753374500721,1753374500843,78140,78262,122,639.9999802456289,360.7297362036022,2
1753374500843,1753374501134,78262,78553,291,618.0752856524762,355.8215657267996,5
1753374501134,1753374501566,78553,78985,432,642.7000945572756,324.74041781850417,7
1753374501566,1753374501686,78985,79105,120,675.1303923814073,314.9131225624353,2
1753374501751,1753374501892,79170,79311,141,756.1841814780466,301.904144915469,2
1753374501978,1753374502094,79397,79513,116,870.98579358525,255.18021481456697,1
1753374502270,1753374502661,79689,80080,391,1012.6001097176025,167.58373137549134,6
